 
125	250	125	500	   
125	500	125	750	   
125	750	125	1000	   
125	1000	125	1250	   
125	1250	125	1500	   
125	1500	125	1750	   
125	1750	125	2000	   
125	2000	125	2250	   
575	0	575	250	   
575	250	575	500	   
575	500	575	750	   
575	750	575	1000	   
575	1000	575	1250	   
575	1250	575	1500	   
575	1500	575	1750	   
575	1750	575	2000	   
575	2000	575	2250	   
575	2250	575	2500	   
1025	0	1025	250	   
1025	250	1025	500	   
1025	500	1025	750	   
1025	750	1025	1000	   
1025	1000	1025	1250	   
1025	1250	1025	1500	   
1025	1500	1025	1750	   
1025	1750	1025	2000	   
1025	2000	1025	2250	   
1025	2250	1025	2500	   
1475	0	1475	250	   
1475	250	1475	500	   
1475	500	1475	750	   
1475	750	1475	1000	   
1475	1000	1475	1250	   
1475	1250	1475	1500	   
1475	1500	1475	1750	   
1475	1750	1475	2000	   
1475	2000	1475	2250	   
1475	2250	1475	2500	   
1925	0	1925	250	   
1925	250	1925	500	   
1925	500	1925	750	   
1925	750	1925	1000	   
1925	1000	1925	1250	   
1925	1250	1925	1500	   
1925	1500	1925	1750	   
1925	1750	1925	2000	   
1925	2000	1925	2250	   
1925	2250	1025	2500	   
2325	0	2325	250	   
2325	250	2325	500	   
2325	500	2325	750	   
2325	750	2325	1000	   
2325	1000	2325	1250	   
2325	1250	2325	1500	   
2325	1500	2325	1750	   
2325	1750	2325	2000	   
2325	2000	2325	2250	   
2325	2250	2325	2500	 
